,FC's Bid,FC's Reward,CB's Bid,CB's Reward
10,590,0,340,40
14,590,0,470,170
35,590,0,360,60
45,590,0,510,210
50,590,0,400,100
52,590,0,380,80
57,590,0,440,140
71,590,0,500,200
97,590,0,440,140
111,590,0,580,280
131,590,0,430,130
146,590,0,440,140
179,590,0,500,200
183,590,0,440,140
193,590,0,340,40
196,590,0,580,280
246,590,0,400,100
256,590,0,550,250
270,590,0,470,170
328,590,0,470,170
345,590,0,390,90
358,590,0,560,260
385,590,0,490,190
394,590,0,490,190
452,590,0,400,100
465,590,0,540,240
469,590,0,440,140
472,590,0,530,230
482,590,0,500,200
496,590,0,380,80
511,590,0,530,230
549,590,0,570,270
560,590,0,550,250
575,590,0,550,250
598,590,0,370,70
613,590,0,540,240
615,590,0,380,80
639,590,0,490,190
647,590,0,410,110
711,590,0,410,110
718,590,0,350,50
728,590,0,530,230
777,590,0,570,270
804,590,0,330,30
816,590,0,490,190
857,590,0,460,160
858,590,0,480,180
860,590,0,380,80
894,590,0,370,70
903,590,0,380,80
919,590,0,470,170
958,590,0,360,60
973,590,0,410,110
1009,590,0,410,110
1011,590,0,440,140
1022,590,0,560,260
1046,590,0,550,250
1062,590,0,560,260
1063,590,0,510,210
1065,590,0,430,130
1091,590,0,530,230
1147,590,0,480,180
1172,590,0,400,100
1185,590,0,510,210
1197,590,0,340,40
1211,590,0,510,210
1226,590,0,350,50
1267,590,0,580,280
1297,590,0,320,20
1301,590,0,340,40
1312,590,0,370,70
1326,590,0,440,140
1330,590,0,570,270
1336,590,0,570,270
1344,590,190,590,0
1366,590,0,360,60
1393,590,0,500,200
1396,590,0,490,190
1438,590,0,360,60
1439,590,0,450,150
1448,590,0,580,280
1459,590,0,510,210
1466,590,0,450,150
1480,590,190,590,0
1494,590,0,360,60
1505,590,0,380,80
1568,590,0,560,260
1596,590,0,480,180
1614,590,0,520,220
1642,590,0,470,170
1653,590,0,350,50
1660,590,0,500,200
1702,590,0,450,150
1727,590,0,370,70
1732,590,0,330,30
1741,590,0,350,50
1757,590,0,460,160
1772,590,0,580,280
1808,590,0,470,170
1832,590,0,470,170
1847,590,0,570,270
1877,590,0,520,220
1886,590,0,360,60
1905,590,0,330,30
1912,590,0,530,230
1914,590,0,530,230
1942,590,0,470,170
1952,590,0,310,10
1956,590,0,560,260
1959,590,0,320,20
1965,590,0,560,260
1977,590,0,320,20
1982,590,0,490,190
1993,590,0,360,60
2010,590,0,470,170
2053,590,0,320,20
2055,590,0,380,80
2100,590,0,310,10
2126,590,0,560,260
2170,590,0,420,120
2183,590,0,440,140
2189,590,0,400,100
2200,590,0,420,120
2208,590,0,400,100
2252,590,0,570,270
2336,590,0,460,160
2356,590,0,530,230
2400,590,0,520,220
2437,590,0,500,200
2438,590,0,370,70
2467,590,0,430,130
2478,590,0,420,120
2490,590,0,530,230
2507,590,0,460,160
2518,590,0,420,120
2538,590,0,330,30
2573,590,0,490,190
2576,590,0,410,110
2582,590,0,370,70
2660,590,0,490,190
2682,590,0,490,190
2707,590,0,550,250
2709,590,0,550,250
2714,590,0,330,30
2716,590,0,520,220
2729,590,0,460,160
2741,590,0,410,110
2757,590,0,490,190
2773,590,0,570,270
2802,590,0,520,220
2806,590,0,450,150
2812,590,0,540,240
2817,590,190,590,0
2880,590,0,350,50
2926,590,0,470,170
2943,590,0,550,250
2944,590,0,430,130
2978,590,0,430,130
2983,590,0,410,110
2985,590,0,580,280
2999,590,0,420,120
3000,590,0,370,70
3027,590,0,410,110
3028,590,0,380,80
3033,590,0,520,220
3047,590,0,530,230
3048,590,0,430,130
3089,590,0,510,210
3105,590,0,380,80
3137,590,0,500,200
3176,590,0,400,100
3181,590,0,340,40
3198,590,0,490,190
3200,590,0,330,30
3205,590,0,370,70
3219,590,0,530,230
3224,590,0,460,160
3225,590,0,390,90
3232,590,0,390,90
3240,590,0,480,180
3260,590,0,480,180
3273,590,0,350,50
3278,590,0,450,150
3284,590,0,360,60
3306,590,190,590,0
3324,590,0,360,60
3335,590,0,440,140
3347,590,0,350,50
3353,590,0,500,200
3376,590,0,500,200
3396,590,0,350,50
3400,590,0,570,270
3448,590,0,420,120
3455,590,0,450,150
3457,590,0,490,190
3458,590,0,330,30
3465,590,0,570,270
3483,590,0,500,200
3492,590,0,340,40
3506,590,0,460,160
3513,590,0,510,210
3545,590,0,560,260
3553,590,0,500,200
3587,590,0,470,170
3594,590,0,440,140
3612,590,0,510,210
3621,590,0,520,220
3636,590,0,330,30
3673,590,0,520,220
3683,590,0,350,50
3769,590,0,500,200
3837,590,0,470,170
3851,590,0,310,10
3862,590,0,500,200
3915,590,0,320,20
3923,590,0,360,60
3934,590,0,430,130
3944,590,0,390,90
3948,590,0,430,130
3951,590,0,360,60
3953,590,0,510,210
3965,590,0,550,250
3995,590,0,450,150
4066,590,0,450,150
4103,590,0,350,50
4111,590,0,380,80
4116,590,0,370,70
4186,590,0,520,220
4193,590,0,340,40
4246,590,0,580,280
4248,590,0,450,150
4284,590,0,470,170
4296,590,0,570,270
4305,590,0,460,160
4336,590,0,360,60
4347,590,0,390,90
4352,590,0,360,60
4420,590,0,580,280
4421,590,0,540,240
4435,590,0,500,200
4442,590,0,330,30
4462,590,0,460,160
4502,590,0,450,150
4528,590,0,420,120
4582,590,0,320,20
4586,590,0,370,70
4593,590,0,530,230
4600,590,0,390,90
4622,590,0,490,190
4630,590,0,480,180
4643,590,0,580,280
4648,590,0,380,80
4662,590,190,590,0
4663,590,0,380,80
4671,590,0,430,130
4685,590,0,490,190
4702,590,0,510,210
4711,590,0,390,90
4716,590,0,440,140
4722,590,0,450,150
4755,590,0,390,90
4760,590,0,510,210
4763,590,0,450,150
4779,590,0,560,260
4785,590,0,400,100
4789,590,0,540,240
4790,590,0,440,140
4808,590,0,480,180
4809,590,0,500,200
4812,590,0,380,80
4814,590,0,440,140
4817,590,0,420,120
4819,590,0,310,10
4832,590,0,380,80
4844,590,0,500,200
4874,590,0,340,40
4924,590,0,390,90
4945,590,0,310,10
4978,590,0,440,140
5042,590,0,530,230
5071,590,0,410,110
5134,590,0,550,250
5149,590,0,430,130
5159,590,0,540,240
5166,590,0,430,130
5209,590,0,550,250
5237,590,0,570,270
5254,590,0,320,20
5294,590,190,590,0
5301,590,0,350,50
5308,590,0,430,130
5332,590,0,470,170
5343,590,0,480,180
5348,590,0,550,250
5372,590,0,350,50
5444,590,0,420,120
5445,590,0,380,80
